datetime,S1,S2,S3,S4,S5,combined
2021-09-03 04:00:00,-15477.929999999982,-15983.079999999976,-15470.659999999985,-15663.219999999983,-15889.589999999978,-78484.4799999999
2021-09-03 12:00:00,-16327.999999999982,-16833.149999999976,-16320.729999999985,-16513.289999999983,-16739.659999999978,-82734.8299999999
2021-09-07 20:00:00,-16397.12999999998,-16926.439999999977,-16460.659999999985,-16583.259999999984,-16856.26999999998,-83223.7599999999
2021-09-17 20:00:00,-16444.649999999976,-17021.489999999972,-16603.23999999998,-16654.549999999985,-16975.08999999998,-83699.01999999987
2021-09-20 08:00:00,-15717.459999999981,-16294.299999999977,-15876.049999999985,-15927.35999999999,-16247.899999999983,-80063.06999999989
2021-10-01 04:00:00,-15904.759999999984,-16481.59999999998,-16063.349999999988,-16114.659999999993,-16435.199999999986,-80999.5699999999
2021-10-27 04:00:00,-16297.829999999984,-16874.66999999998,-16456.419999999987,-16507.729999999992,-16828.269999999986,-82964.9199999999
2021-10-28 16:00:00,-16358.819999999989,-16996.649999999983,-16639.39999999999,-16599.209999999995,-16980.74999999999,-83574.82999999991
2021-11-01 20:00:00,-16473.89999999999,-17119.839999999986,-16824.18999999999,-16714.289999999997,-17134.739999999987,-84266.95999999992
2021-11-02 08:00:00,-16932.989999999994,-17578.92999999999,-17283.279999999995,-17173.38,-17593.82999999999,-86562.40999999995
2021-11-04 12:00:00,-16994.889999999996,-17702.729999999992,-17468.979999999992,-17266.23,-17748.57999999999,-87181.40999999995
2021-11-06 04:00:00,-17055.899999999998,-17824.739999999994,-17651.99999999999,-17357.74,-17901.089999999993,-87791.46999999994
2021-11-12 20:00:00,-17733.779999999995,-18502.61999999999,-18329.879999999986,-18035.62,-18578.96999999999,-91180.86999999994
2021-11-16 08:00:00,-17794.71999999999,-18624.50999999999,-18512.70999999998,-18127.039999999997,-18731.32999999999,-91790.30999999992
2021-11-17 00:00:00,-17854.95999999999,-18744.99999999999,-18693.439999999977,-18217.41,-18881.93999999999,-92392.74999999991
2021-11-29 04:00:00,-17912.269999999986,-18630.35999999999,-18521.479999999978,-18303.37,-18738.639999999996,-92106.11999999991
2021-11-29 16:00:00,-18125.539999999983,-18843.629999999986,-18734.749999999975,-18516.639999999996,-18951.909999999993,-93172.46999999988
2021-12-03 00:00:00,-18261.979999999985,-18980.06999999999,-18904.69999999997,-18653.079999999998,-19093.529999999995,-93893.3599999999
2021-12-03 08:00:00,-18677.30999999998,-19395.399999999983,-19320.029999999966,-19068.409999999993,-19508.85999999999,-95970.00999999986
